idx_all,idx,english,french,ALL VOTEINTENTION,ALL CRITICISM,ALL SUPPORT,MACRON VOTEINTENTION,LEPEN VOTEINTENTION,MELENCHON VOTEINTENTION,MACRON CRITICISM,LEPEN CRITICISM,MELENCHON CRITICISM,MACRON  SUPPORT,LEPEN SUPPORT,MELENCHON SUPPORT
4917744,38,"YOU YOUNG PEOPLE: FORCED TO WORK MORE AND LONGER, TO PAY TAXES GALORE to plug the holes of social and tax fraud, we are planning a RETIREMENT THAT IS RECEDING ON THE HORIZON: it's the NEW Macron to consume in moderation. So, collaboration?","VOUS LES JEUNES : OBLIGES DE TRAVAILLER PLUS ET PLUS LONGTEMPS, de PAYER DES TAXES à GOGO pour boucher les trous des fraudes sociales et fiscales, on vous prévoit une RETRAITE QUI RECULE à L'HORIZON : c'est le NOUVEAU Macron à consommer avec modération . Alors collaboration ?",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
3196575,39,"But public opinion is always divided, regardless of the president elected and the actions he takes, he is critical. If we give more power to the assembly and we decide to fire a president as soon as the people want it, how could he implement his program?",Mais l'opinion publique est toujours divisé quelque soit la president élu et les actes qu'il fait il est critique. Si on donne plus de pouvoir à l'assemblé et qu'on décide de virer un président des que le peuple le souhaite comment pourrais t il mettre en place son programme.,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2337179,40,I reported this tweet!,J’ai signalé ce tweet !,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2200770,41,"I respect but don't share. I'm more basic and prefer to give visibility to those who defend my convictions. It was already too painful in 2017 to have voted for Mélenchon to see the disaster of ideas that he made of it. In 2022, it's impossible","Je respecte mais partage pas. Je suis plus primaire et prefere donner de la visibilité à ceux qui defendent mes convictions. C etait deja trop douloureux en 2017 d’avoir voté melenchon pour constater le desastre d’idée qu’il en a fait. En 2022, c impossible",None,Mélenchon,None,NO,NO,NO,NO,NO,YES,NO,NO,NO
1226703,42,"Relax, it's Macron who's going to pass, you'll be able to stay.",Détends toi c’est macron qui va passer tu vas pouvoir rester,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
3893647,43,MORE THAN THE SCUM WITH Mélenchon will CONTINUE ITS BABARIC ACTS! I ASK THE PARENTS OF DRUG ADDICTS AND TRAFFICKERS LIKE THUGS TO VOTE FOR MARINE LE PEN OR YOU RISK YOUR CHILDREN BEING IN PRISON OR BY OTHER GANGS OF DELINQUENTS!,"PLUS QUE LA RACAILLE AVEC mélenchon va CONTINUER SES ACTES BABARES !.JE DEMANDE AUX PARENTS DES DROGUES ET TRAFICANTS COMME DES VOYOUS,DE VOTER MARINE LE PEN OU VOUS RISQUEZ QUE VOS ENFANTS SOIENT EN PRISON OUPAR AUTRES BANDES DE DELINQUENTS !.",Le Pen,Mélenchon,LePen,NO,YES,NO,NO,NO,YES,NO,NO,NO
5516649,44,the old people who voted for marine lol it's because of them that jlm isn't here damn it,les vieux qui ont votés marine mdrrr c'est à cause d'eux que jlm n'est pas là putain,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
4675037,45,I can't wait to see Melenchon lose the election and get a healthy TL. You guys are truly unbearable.,Tellement hâte de voir melenchon perdre les élections sur je récupère une TL saine. Vous êtes vraiment insupportables.,None,Mélenchon,None,NO,NO,NO,NO,NO,YES,NO,NO,NO
4423423,46,"2022 presidential election results: three maps to visualize the municipalities where Macron, Le Pen and Mélenchon came out on top in the first round via","Résultats présidentielle 2022 : trois cartes pour visualiser les communes où Macron, Le Pen et Mélenchon sont arrivés en tête au premier tour  via ",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
5269853,47,"Well yes, clown since France does not publish statistics of this type",bah oui guignolo puisque la France publie pas de stats de ce type,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
1251138,48,"Well, I hope she does, and hopefully it's without you. Call for a direct vote for Macron; it will be simpler and more courageous. For the definition of courage, refer to the Larousse dictionary.","Eh ben j'espère qu'elle en fera et stt que ce soit sans vous. Appelez à voter Macron direct ce sera plus simple et plus courageux. Pour la définition du courage, se référer au Larousse..",None,None,Macron,NO,NO,NO,NO,NO,NO,YES,NO,NO
3793310,49,Or for a hyaluronic acid treatment!,Ou pour un soin à l'acide hyaluronique !,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
3916482,50,"Because Macron has already been to Dakhla, in the Moroccan Western Sahara region, and he knows very well what's going on there. And the people we bombed are mercenaries, and it serves them right. And we'll do it again as long as people return to this area.","Parce que Macron a déja été à Dakhla, dans la région du Sahara occidental marocain, et qu'il sait très bien ce qu'il se passe la-bas. Et les gens qu'on a bombardés sont des mercennaires, et c'est bien fait pour eux. Et on recommencera tant que les gens rentrent dans cette zone.",None,None,Macron,NO,NO,NO,NO,NO,NO,YES,NO,NO
2736772,51,The French have already decided that he was eliminated for the third time in the first round. The people do not want this stage-drummer. Accept this verdict or leave politics.,Les Français ont déjà tranché  a été éliminé pour la 3 ème fois des le 1er tour Le peuple ne veut pas de ce batteur d estrade Acceptez ce verdict ou bien quittez la politique,None,Mélenchon,None,NO,NO,NO,NO,NO,YES,NO,NO,NO
3819330,52,"Yes, that's it, we're dealing with a guy completely disconnected from reality.","Oui c'est ça, on est sur un mec complètement déconnecté de la réalité",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
5355284,53,she is for Zemmour at the stake the witch,elle est pour zemmour  au bûcher la sorcière,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
4638392,54,Seriously... seriously?,Sérieux... sérieusement ?,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
4825871,55,You vote for Zemmour lol,Tu vote zemmour mdrrr,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
1834636,56,"It should also be said that this Bigorgne is a regular and self-confessed cocaine addict, to better set the scene, and that he is an old friend of Macron (since Sc Po)...","Il faudrait aussi dire que ce Bigorgne est un cocaïnomane régulier et assumé, pour mieux planter le décor, et qu’il est un vieux pote de Macron (depuis Sc Po)…",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
3960235,57,"Not necessarily, we'll see. Personally, I already know who will advance to the second round, but the rest is a mystery. But people could well block Macron too because they'll be afraid he'll be re-elected.","Pas forcément, on verra bien. Perso je sais déjà qui va passer au second tour mais pour le reste, mystère. Mais les gens pourraient bien faire barrage à Macron aussi parce qu'ils auront peur qu'il soit réélu",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
3730799,58,"We're still not allowed to hunt in the yard and?? Not even a ""traditional"" glue trap? It's for a friend.","On n'a toujours pas le droit de faire la chasse à cour à   et  ?? Même pas un piège  ""traditionnel "" à la glue ? C'est pour un copain. ",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
143207,59,"5 years later, 1.5% is the new ""give or take 600,000""!","5 ans plus tard, 1,5% is the new ""à 600000 vois près""!",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2549782,60,Emmanuel McKinsey has done a lot of harm.,Le Emmanuel McKinsey a fait beaucoup de mal.,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
5630455,61,"The more you insist, the more votes you lose!! and that makes us very happy, April 10, 8:01 p.m....we are very happy in Marseille! especially without seeing you! and without seeing Mélenchon! nor mlp... the final fight...in every sense of the word for you 3!","plus tu insistes, plus tu perds des votes!! et cela nous fait tres plaisir, 10 Avril 20 h 01...nous sommes tres bien a Marseille! surtout sans te voir! et sans voir Melenchon! ni mlp... la lutte finale...dans tous les sens du terme pour vous 3!",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
682534,62,"That's because you always think it's only racists who vote for Le Pen. In reality, it's the poor and those who say their life is a ""shitty life."" Those who are really struggling. It's excellently summed up here, with graphs to support it:","C'est parce que vous pensez toujours que ce sont que des racistes qui votent Lepen. En réalité, ce sont les pauvres et ceux qui disent que leur vie est une ""vie de merde"". Ceux qui galèrent, vraiment. C'est excellemment bien résumé ici, graphes à l'appui : ",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
566284,63,"Hello, Madam, French and Muslim by faith, millions of us are against Macron and were ready to give you our votes. The only problem is your stigmatization of Muslims and your ban on the veil in public spaces, but not the kippah. We will vote for Macron.",Bonjour Mme Français et musulman de confession nous sommes pour des millions anti Macron et etions prêt à vous donner nos voix le seul problème c'est votre stigmatisation des musulmans et votre interdiction du voile sur l'espace public mais pas la kippa. Nous voterons Macron,Macron,None,Macron,YES,NO,NO,NO,NO,NO,YES,NO,NO
5026073,64,How will you dress for Marine Le Pen's 2022 presidential election?,Vous allez vous habiller comment pour l'élection de Marine Le Pen à la presidentielles2022  ?,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
1436975,65,"And Macron for 5 years only to end up not daring to come and defend his own, neither before the first round nor after. He prefers to harangue crowds of 3,000 people in a city like Marseille with wind. Ps. Where are we with the affair of the luxury car of Mr. Minister of Justice?",Et Macron 5 ans pour finir par ne pas oser venir défendre le sien ni avant le 1er tour ni après. Il préfère haranguer des foules  de 3000 personnes dans une ville comme Marseillle avec du vent. Ps. On en est ou avec l'affaire de la voiture de luxe de Mr le garde des Sceaux ?,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
1152082,66,"Too bad Macron didn't want to have a debate, he would have destroyed it. That's why he didn't come, and he's running for a second term ""loool""","Dommage que Macron n'a pas voulu faire de débat, il l'aurait éclaté. C'est pour cela qu'il n'est pas venu, et ça brigue un 2eme mandat ""loool""",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
504953,67,"Well yes, you are right to question yourself and so much the better. That's what most people should be doing instead of following like sheep.",Ben oui tu as raison de te questionner et tant mieux. C'est ce que devrais faire la plupart des gens au lieu de suivre comme des moutons.,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
1908700,68,"He will appoint Jadot for 2 months until the legislative elections, if he is elected!!!","Il va nommer Jadot pour 2 mois jusqu’aux législatives, s’il est élu !!!",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
3786538,69,Orban played the pacifism card to win the elections; Lepen is doing the same thing and could well win the elections thanks to the war in Ukraine: not our war.,Orban a joué la carte du pacifisme pour gagner les élections ; Lepen fait la même chose et pourrait bien gagner les élections grâce à la guerre en Ukraine : pas notre guerre.,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2203131,70,"I was answering your ""if""",Je répondais à ton « si »,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
5497562,71,"The worst thing is that I saw people say ""but Le Pen isn't racist, eh"" 1st degree...","le pire c'est que j'ai vu des gens dire ""mais le pen est pas raciste hein"" 1er degrés...",None,Le Pen,None,NO,NO,NO,NO,YES,NO,NO,NO,NO
1550153,72,"And without his friend Mélenchon, phew!",Et sans son copain Mélenchon ouf,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
347376,73,Stop whining...,Arretez de chialer…,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
3154687,74,"Madam .... We must take into account the experience we have lived through ""A people who elect corrupt people, renegades, impostors, thieves and traitors are not victims! They are accomplices."" Political writings: by George Orwell","Madame ....  Il faut tenir compte de l'expérience que nous avons vécu ""Un peuple qui élit des corrompus, des renégats, des imposteurs, des voleurs et des traîtres  n'est pas victime ! Il est complice. "" Ecrits politiques  : de George Orwell",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2723550,75,Le Pen is a liar and a thief! She must return the stolen money to Europe!,Lepen est une menteuse et une voleuse! Elle doit rendre l'argent volé a l'europe!,None,Le Pen,None,NO,NO,NO,NO,YES,NO,NO,NO,NO
4309183,76,"What a mess, Le Pen is a disgrace to the right. Let's vote for Zemmour, the only one capable of uniting the right and winning!","Quelle fonte, Le Pen est une honte pour la droite. Votons Zemmour, le seul capable de réunir la droite et de gagner !",None,Le Pen,None,NO,NO,NO,NO,YES,NO,NO,NO,NO
2212707,77,I hope he will give you retirement at 65 and 67 at full rate!! Hihihi,Je souhaite qu'il te mette la retraite  a 65 ans et 67 a taux pleins !! Hihihi,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
4893375,78,"Once in the voting booth, people do what they want. Those who vote for Marine Le Pen don't say so publicly.","Une fois dans l'isoloir, les gens font ce qu'ils veulent. Ceux qui votent Marine Le Pen ne le disent pas publiquement.",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
513895,79,BenVoyons the next parliament will be UDR (Zemmour or Lepen) in majority with the communists and the rebellious as oppositions ByUnHasardCosmique the national assembly will go back in time and will be that of (1958-1973) the hard right and the radical left CàPasseCreme,BenVoyons le prochain parlement seras UDR (zemmour ou lepen) en majorité avec comme oppositions  les communiste et  les insoumis ParUnHasardCosmique l'assemblée national vas remonté le temps et seras celle de (1958-1973) la droite dur et la gauche radicale CàPasseCreme,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2532461,80,"Forget it, they are hypnotized and persuaded to think for themselves Lost causes","Laissez tomber, ils sont hypnotisés et persuadés de réfléchir par eux même  Causes perdues",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
5692552,81,"Under civilian names, European and American mercenaries and acting under the banner of resistance, these retired former soldiers strike at Red Cross facilities and hospitals, maternity wards and others to blame them on the Russians - change scenario -","sous les appelations civils, les mercennaires européens et américains et agissant sous la bannière de résistant, ces anciens soldats en retraite frappent les installations d la croix roug et des hôpitaux, maternités et autre pour les imputer aux russses - changer de scénario-",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
5248205,82,Did I read that right? Mr. Zemmour is the candidate of the New World Order!,ai je bien lu ?  M. Zemmour est le candidat du Nouvel Ordre Mondial !,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2580324,83,"The RN dies, knowing that Melenchon will not run again and that Macron will not be able to either, this will leave a boulevard for","Le Rn meurt, sachant que Melenchon ne se représentera pas et que Macron ne pourra pas non plus, cela laissera un boulevard à ",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2641949,84,Le Pen's nothingness is visible without digging. It's simpler.,Le néant de Le Pen est lui visible sans creuser. C'est plus simple.,None,Le Pen,None,NO,NO,NO,NO,YES,NO,NO,NO,NO
4248586,85,"When I was going door to door for LFI, I understood one thing. People vote for Macron because it's a semblance of the status quo for their status. They won't be the ones affected by the measures. We've clearly lost the sense of solidarity and society in this country.","Quand je faisais du porte à porte pour LFI, j’ai compris une chose. Les gens votent Macron car c’est un semblant de statu quo pour leurs statuts. Ce ne sera pas eux qui seront affectés par les mesures. On a clairement perdu la fibre de solidarité et de société dans ce pays",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
1633533,86,"Falcones prefers to convert to Islam by lobotomy. Boo racist marine then I prefer to submit to the scum, the illegals who stab these sheep for a cigarette or a pitiful look","Falcones préfère se convertir à l'islam par lobotomie. Bouuuh marine raciste alors je préfère me soumettre aux racailles, aux clandos qui poignardent pour une clope ou un regard pitoyable ces moutons",None,None,LePen,NO,NO,NO,NO,NO,NO,NO,NO,NO
3668709,87,"Rather, take care of your Brussels MP who advocates terrorism, who is anti-Semitic and also a conspiracy theorist. But strangely, radio silence from that side... Mouhssin Ahmed is still not excluded from the Green group.","Occupez vous plustot de votre député bruxellois qui fait de l'apologie de terrorisme ,qui est antisémite et complotiste aussi  . Mais bizarrement silences radio de ce coté la ....  mouhssin ahmed n'est toujours pas exclus du groupe écolo",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
5417965,88,I need to file a complaint. I received a message on my answering machine about Zemmour's candidacy. +33 1 87 21 26 66,il faut porter plainte j’ai reçu un message sur mon répondeur pour la candidature de zemmour +33 1 87 21 26 66,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
